"","EIN","Year","Assets","Liabilities"
"9415","76-0442781",2021,8799873,1806343
"9416","85-0368993",2009,6560693,536889
"9417","85-0368993",2010,6983633,779941
"9418","85-0368993",2011,7010766,828608
"9419","85-0368993",2012,6785924,490428
"9420","85-0368993",2013,6761029,391594
"9421","85-0368993",2014,6346734,485040
"9422","85-0368993",2015,8643095,725509
"9423","85-0368993",2016,10377653,720800
"9424","85-0368993",2017,9696476,483506
"9425","85-0368993",2018,9523628,448198
"9426","85-0368993",2019,9413331,460054
"9427","85-0368993",2020,9627794,712647
"9428","85-0368993",2021,10115059,592887
"9429","85-0368993",2022,9726634,544481
"9430","74-2176836",2009,12318526,1068137
"9431","74-2176836",2010,12391810,1107015
"9432","74-2176836",2011,18181836,2271827
"9433","74-2176836",2012,20665906,1231463
"9434","74-2176836",2013,19344863,1101574
"9435","74-2176836",2014,18369500,943913
"9436","74-2176836",2015,18517017,956863
"9437","74-2176836",2016,19269698,996177
"9438","74-2176836",2017,19043371,1005090
"9439","74-2176836",2018,19493058,1064318
"9440","74-2176836",2019,19587390,1189133
"9441","74-2176836",2020,20674243,1788959
"9442","74-2176836",2021,20648274,1915753
"9443","74-2176836",2022,21958146,2029460
"9444","76-0408224",2009,19429937,827894
"9445","76-0408224",2010,22390583,657265
"9446","76-0408224",2011,23563540,173907
"9447","76-0408224",2012,38965410,39105
"9448","76-0408224",2013,30240443,2613
"9449","76-0408224",2014,34898760,403991
"9450","76-0408224",2015,36489179,206800
"9451","76-0408224",2016,34796610,264902
"9452","76-0408224",2017,37397704,8118
"9453","76-0408224",2018,40885903,656145
"9454","76-0408224",2019,56324157,55439
"9455","76-0408224",2020,63268222,50136
"9456","76-0408224",2021,80539470,395659
"9457","76-0408224",2022,42615141,145278
"9458","76-0289927",2009,2166518,461592
"9459","76-0289927",2010,2159512,549701
"9460","76-0289927",2011,2613560,943753
"9461","76-0289927",2012,3081667,845341
"9462","76-0289927",2013,3019200,800335
"9463","76-0289927",2014,2962219,1062025
"9464","76-0289927",2015,3132450,842717
"9465","76-0289927",2016,4258389,1187656
"9466","76-0289927",2017,3998340,898287
"9467","76-0289927",2018,4279115,254402
"9468","76-0289927",2019,4330061,858493
"9469","76-0289927",2020,4745207,955289
"9470","76-0289927",2021,6673253,1385624
"9471","74-2553409",2009,26069013,11286392
"9472","74-2553409",2010,26912876,11236239
"9473","74-2553409",2011,18864401,11217054
"9474","74-2553409",2012,18330412,11286345
"9475","74-2553409",2013,18123356,10897419
"9476","74-2553409",2014,16751674,10320098
"9477","74-2553409",2015,15473247,8886322
"9478","74-2553409",2017,15421156,7979907
"9479","74-2553409",2018,15466092,7995237
"9480","74-2553409",2019,17737639,9215326
"9481","74-2553409",2020,18151621,8684799
"9482","74-2553409",2021,24061527,11291309
"9483","74-2553409",2022,26723902,8585766
"9484","41-2114148",2009,277193,166621
"9485","41-2114148",2010,530597,139724
"9486","41-2114148",2011,469125,290879
"9487","41-2114148",2012,631958,104383
"9488","41-2114148",2013,639664,111127
"9489","41-2114148",2014,616632,127231
"9490","41-2114148",2015,716922,123030
"9491","41-2114148",2016,894435,73733
"9492","41-2114148",2017,1505460,79912
"9493","41-2114148",2018,1908091,102787
"9494","41-2114148",2019,2608508,111183
"9495","41-2114148",2020,3342227,268295
"9496","41-2114148",2021,5430011,2197718
"9497","41-2114148",2022,7622587,4140810
"9498","72-1443732",2008,2665857,903385
"9499","72-1443732",2009,6953800,4598628
"9500","72-1443732",2010,7410527,5002323
"9501","72-1443732",2012,7695260,5273840
"9502","72-1443732",2013,7731058,5240720
"9503","72-1443732",2014,8118819,5286277
"9504","72-1443732",2015,8870950,5195287
"9505","72-1443732",2016,13485885,6498134
"9506","72-1443732",2017,15241079,6346212
"9507","72-1443732",2018,17532288,8632473
"9508","72-1443732",2019,18731245,4974827
"9509","72-1443732",2020,20101039,7597682
"9510","72-1443732",2021,20675650,7854807
"9511","58-2000630",2009,3062019,1782826
"9512","58-2000630",2010,3845887,2161924
"9513","58-2000630",2011,4709430,1806650
"9514","58-2000630",2012,5103385,1671239
"9515","58-2000630",2013,5492640,1759775
"9516","58-2000630",2014,5537761,1701353
"9517","58-2000630",2016,4869249,1952870
"9518","58-2000630",2017,5084020,1774215
"9519","58-2000630",2018,5205458,1347656
"9520","58-2000630",2019,5439035,1249676
"9521","58-2000630",2020,8855063,2772053
"9522","58-2000630",2021,9388326,1607064
"9523","74-3001674",2009,13794211,3878194
"9524","74-3001674",2010,18176983,8196241
"9525","74-3001674",2011,19978500,9748469
"9526","74-3001674",2012,21143144,10890101
"9527","74-3001674",2013,30213367,16404615
"9528","74-3001674",2014,28035128,17659633
"9529","74-3001674",2015,33773433,14762983
"9530","74-3001674",2016,35194463,11085258
"9531","74-3001674",2017,40330495,10288570
"9532","74-3001674",2018,46765059,9070726
"9533","74-3001674",2019,51881578,9800689
"9534","74-3001674",2020,56592282,12508336
"9535","74-3001674",2021,60350899,12422305
"9536","31-1553455",2008,1979575,605959
"9537","31-1553455",2009,4366104,1165098
"9538","31-1553455",2010,4508896,655818
"9539","31-1553455",2011,5045107,884948
"9540","31-1553455",2012,6015657,819111
"9541","31-1553455",2013,7432425,743796
"9542","31-1553455",2014,7746887,989400
"9543","31-1553455",2015,12597546,1154625
"9544","31-1553455",2016,11961673,1183545
"9545","31-1553455",2017,12552440,1335635
"9546","31-1553455",2018,11587473,1689346
"9547","31-1553455",2019,13463317,1355030
"9548","31-1553455",2020,16665464,3509816
"9549","31-1553455",2021,19746377,1372484
"9550","31-1553455",2022,29228650,5300209
"9551","20-0368759",2009,4549423,2509107
"9552","20-0368759",2010,7104848,4030286
"9553","20-0368759",2011,8054335,4169306
"9554","20-0368759",2012,8998519,4038595
"9555","20-0368759",2013,10670750,4983390
"9556","20-0368759",2014,12390453,5874143
"9557","20-0368759",2015,13510165,5542182
"9558","20-0368759",2017,19523510,5904931
"9559","20-0368759",2018,25189087,8370697
"9560","20-0368759",2019,30467314,7945924
"9561","20-0368759",2020,42911295,16697043
"9562","20-0368759",2021,52785536,13986745
"9563","71-0638760",2009,498339,143068
"9564","71-0638760",2010,965442,132501
"9565","71-0638760",2011,1452881,194391
"9566","71-0638760",2012,4345423,544229
"9567","71-0638760",2013,4707599,506837
"9568","71-0638760",2014,4412077,209234
"9569","71-0638760",2015,4442727,157964
"9570","71-0638760",2016,4658843,179777
"9571","71-0638760",2017,4543833,210528
"9572","71-0638760",2018,5660657,209096
"9573","71-0638760",2019,5846389,355573
"9574","71-0638760",2020,6697115,902432
"9575","71-0638760",2021,7508299,335433
"9576","71-0638760",2022,8073611,540473
"9577","04-3766364",2009,2515965,114418
"9578","04-3766364",2010,3056921,54565
"9579","04-3766364",2011,7313756,299782
"9580","04-3766364",2012,6914286,206014
"9581","04-3766364",2013,7043606,354436
"9582","04-3766364",2014,6105503,226374
"9583","04-3766364",2015,6133112,360633
"9584","04-3766364",2016,6209041,353605
"9585","04-3766364",2017,6293935,510425
"9586","04-3766364",2018,5791462,668205
"9587","04-3766364",2019,5444701,626294
"9588","04-3766364",2020,7333830,1978912
"9589","04-3766364",2021,9079749,902471
"9590","74-1905196",2009,5857962,513143
"9591","74-1905196",2010,6604498,535575
"9592","74-1905196",2011,7056772,489791
"9593","74-1905196",2012,7076466,439913
"9594","74-1905196",2013,7293175,583691
"9595","74-1905196",2014,7823682,350709
"9596","74-1905196",2015,8481748,299390
"9597","74-1905196",2016,8872176,364774
"9598","74-1905196",2017,9732122,394312
"9599","74-1905196",2018,10573412,403943
"9600","74-1905196",2019,11346452,579190
"9601","74-1905196",2020,12201765,524067
"9602","74-1905196",2021,15125668,562535
"9603","74-1905196",2022,15556811,520684
"9604","71-0487596",2009,1878665,158356
"9605","71-0487596",2010,2120501,234476
"9606","71-0487596",2011,2603243,323379
"9607","71-0487596",2012,3131823,352610
"9608","71-0487596",2013,3547245,560116
"9609","71-0487596",2014,3025330,577328
"9610","71-0487596",2015,3139274,581743
"9611","71-0487596",2016,4958378,484810
"9612","71-0487596",2017,5430720,448094
"9613","71-0487596",2018,6347279,746536
"9614","71-0487596",2019,6382552,737016
"9615","71-0487596",2020,6149284,923166
"9616","71-0487596",2021,7167757,968554
"9617","71-0487596",2022,7743660,1071522
"9618","20-0375450",2009,53489,226005
"9619","20-0375450",2010,680804,362380
"9620","20-0375450",2011,1078295,326180
"9621","20-0375450",2012,1080045,266763
"9622","20-0375450",2013,1148703,243942
"9623","20-0375450",2014,1033163,274521
"9624","20-0375450",2015,1309385,387916
"9625","20-0375450",2016,1816687,706263
"9626","20-0375450",2017,1995035,817412
"9627","20-0375450",2018,2173686,902136
"9628","20-0375450",2019,2057575,959396
"9629","20-0375450",2020,3021335,1581684
"9630","20-0375450",2021,2537387,764686
"9631","75-2541970",2009,1815789,581410
"9632","75-2541970",2010,2398848,574193
"9633","75-2541970",2011,4012407,1637747
"9634","75-2541970",2012,4768028,2002260
"9635","75-2541970",2013,5359195,2181038
"9636","75-2541970",2014,5652313,2033969
"9637","75-2541970",2015,7148305,2260795
"9638","75-2541970",2016,8094698,1948897
"9639","75-2541970",2017,9084057,1734811
"9640","75-2541970",2018,9992267,1326258
"9641","75-2541970",2019,10244127,1313036
"9642","75-2541970",2020,11890765,2397474
"9643","75-2541970",2021,11853195,2170633
"9644","30-0198705",2008,509150,49596
"9645","30-0198705",2010,1004239,264867
"9646","30-0198705",2011,1780541,153998
"9647","30-0198705",2012,2900087,203642
"9648","30-0198705",2013,4476193,1276885
"9649","30-0198705",2014,5073476,1427841
"9650","30-0198705",2015,5017369,1539214
"9651","30-0198705",2016,5563787,1981852
"9652","30-0198705",2017,9588640,2010552
"9653","30-0198705",2018,10089798,2261301
"9654","30-0198705",2019,10975451,1700351
"9655","30-0198705",2020,12121798,3947748
"9656","30-0198705",2021,11147952,2720520
"9657","20-0462905",2009,326541,156060
"9658","20-0462905",2010,326614,75661
"9659","20-0462905",2011,398196,88968
"9660","20-0462905",2012,346406,92380
"9661","20-0462905",2013,453683,97263
"9662","20-0462905",2014,375936,98648
"9663","20-0462905",2015,474630,162757
"9664","20-0462905",2016,486007,77499
"9665","20-0462905",2017,996054,115148
"9666","20-0462905",2018,662593,78947
"9667","20-0462905",2019,955242,83450
"9668","20-0462905",2020,1058360,121246
"9669","20-0462905",2021,1160256,91300
"9670","54-2117989",2009,435999,306517
"9671","54-2117989",2010,626555,338771
"9672","54-2117989",2011,2111905,519497
"9673","54-2117989",2012,2388812,654894
"9674","54-2117989",2013,2294360,807251
"9675","54-2117989",2014,3396988,1807282
"9676","54-2117989",2015,5254999,3045150
"9677","54-2117989",2016,4593138,1257439
"9678","54-2117989",2017,14144765,9303554
"9679","54-2117989",2018,14954137,10191018
"9680","54-2117989",2019,14787120,11332517
"9681","54-2117989",2020,14951878,11624039
"9682","54-2117989",2021,16210174,12421874
"9683","56-2446296",2009,609891,127697
"9684","56-2446296",2010,679140,109871
"9685","56-2446296",2011,840154,66044
"9686","56-2446296",2012,1057527,63672
"9687","56-2446296",2013,2980949,89715
"9688","56-2446296",2014,5033357,107536
"9689","56-2446296",2015,5328727,219121
"9690","56-2446296",2016,5459609,212336
"9691","56-2446296",2017,5620441,176354
"9692","56-2446296",2018,5448393,175159
"9693","56-2446296",2019,5471294,189584
"9694","56-2446296",2020,6292347,876395
"9695","56-2446296",2021,7047347,509650
"9696","56-2446296",2022,8165787,262619
"9697","83-0410970",2009,1341480,338334
"9698","83-0410970",2010,1971412,261280
"9699","83-0410970",2011,2733150,300626
"9700","83-0410970",2012,4275923,1461774
"9701","83-0410970",2013,6312801,3287472
"9702","83-0410970",2014,6157795,3264680
"9703","83-0410970",2015,5925059,3130543
"9704","83-0410970",2016,6108496,3294603
"9705","83-0410970",2017,6001003,3171972
"9706","83-0410970",2018,6782577,3182857
"9707","83-0410970",2020,7846871,3801839
"9708","83-0410970",2021,9182947,2934217
"9709","83-0410970",2022,11171540,2864081
"9710","83-0358685",2008,2606391,817990
"9711","83-0358685",2009,3326739,954155
"9712","83-0358685",2010,3670273,730889
"9713","83-0358685",2011,3464216,753581
"9714","83-0358685",2012,3080202,709575
"9715","83-0358685",2013,3058333,978395
"9716","83-0358685",2014,3051175,1424091
"9717","83-0358685",2015,2966344,1325317
"9718","83-0358685",2016,5314785,1421767
"9719","83-0358685",2017,5732680,1029108
"9720","83-0358685",2018,5852868,818107
"9721","83-0358685",2019,5885032,782290
"9722","83-0358685",2020,5963918,1001897
"9723","83-0358685",2021,5963754,1175935
"9724","58-2164455",2009,6081934,679544
"9725","58-2164455",2010,7711304,801123
"9726","58-2164455",2011,9682500,1651764
"9727","58-2164455",2012,11316521,1874191
"9728","58-2164455",2013,13048123,1492632
"9729","58-2164455",2014,13338665,1092440
"9730","58-2164455",2015,14222226,979811
"9731","58-2164455",2016,16391329,1004611
"9732","58-2164455",2017,20905569,597330
"9733","58-2164455",2018,26726487,956555
"9734","58-2164455",2019,32440396,712562
"9735","58-2164455",2020,36956966,3178244
"9736","58-2164455",2021,42144640,3132919
"9737","58-2164455",2022,48889495,1375873
"9738","74-1724391",2009,15063849,6180036
"9739","74-1724391",2010,18131162,7650155
"9740","74-1724391",2011,23719018,12457153
"9741","74-1724391",2012,26066213,13074000
"9742","74-1724391",2013,32029463,15932784
"9743","74-1724391",2014,29575542,15066122
"9744","74-1724391",2015,30540885,15256558
"9745","74-1724391",2016,37856256,17989020
"9746","74-1724391",2017,38543356,15267581
"9747","74-1724391",2018,48940673,19734426
"9748","74-1724391",2019,56991114,19893900
"9749","74-1724391",2020,64866881,20874765
"9750","74-1724391",2021,75862586,21500721
"9751","74-1724391",2022,98268847,28066513
"9752","56-2439708",2009,7974383,1480473
"9753","56-2439708",2010,3389981,729263
"9754","56-2439708",2011,4750681,985110
"9755","56-2439708",2012,5358845,969313
"9756","56-2439708",2013,8435569,2413232
"9757","56-2439708",2014,8053630,2510564
"9758","56-2439708",2015,6784465,2273208
"9759","56-2439708",2016,6039675,2835269
"9760","56-2439708",2017,5756742,4670579
"9761","56-2439708",2018,6515592,4465268
"9762","56-2439708",2019,8885350,3437229
"9763","56-2439708",2020,11782814,3114150
"9764","56-2439708",2021,19319432,6362544
"9765","74-2089103",2010,3651672,769812
"9766","74-2089103",2011,3668154,689209
"9767","74-2089103",2012,3655113,428210
"9768","74-2089103",2013,3762420,529978
"9769","74-2089103",2014,3730967,672795
"9770","74-2089103",2015,6566274,1027852
"9771","74-2089103",2016,7759651,1010392
"9772","74-2089103",2017,8381190,1393581
"9773","74-2089103",2018,9779777,2502227
"9774","74-2089103",2019,9516743,2440532
"9775","74-2089103",2020,10148728,2789878
"9776","74-2089103",2021,12062752,4425087
"9777","74-2089103",2022,12788875,5186126
"9778","76-0009637",2009,10267430,2093251
"9779","76-0009637",2010,12391584,4211960
"9780","76-0009637",2011,18382984,4244578
"9781","76-0009637",2012,20038977,3398761
"9782","76-0009637",2013,24004135,4340829
"9783","76-0009637",2014,34312383,7348924
"9784","76-0009637",2015,40452633,7793742
"9785","76-0009637",2016,47250883,10229772
"9786","76-0009637",2017,56222161,13703726
"9787","76-0009637",2018,68800614,17774488
"9788","76-0009637",2019,71500429,18873560
"9789","76-0009637",2020,82992365,26135448
"9790","76-0009637",2021,120162043,53501518
"9791","76-0009637",2022,145792616,49680483
"9792","75-2723993",2008,5691865,1488793
"9793","75-2723993",2009,6691655,1157722
"9794","75-2723993",2010,7714409,1337488
"9795","75-2723993",2011,7577283,1146943
"9796","75-2723993",2012,6578123,1414453
"9797","75-2723993",2013,5669505,1314919
"9798","75-2723993",2014,5649981,1601561
"9799","75-2723993",2015,5214383,1844547
"9800","75-2723993",2016,4641356,1872675
"9801","75-2723993",2017,5814653,2987686
"9802","75-2723993",2018,6274431,2636664
"9803","75-2723993",2019,6874887,2563658
"9804","75-2723993",2020,9934512,3732005
"9805","75-2723993",2021,12424119,3636368
"9806","75-2854259",2009,308878,114934
"9807","75-2854259",2010,432878,159017
"9808","75-2854259",2011,296235,332739
"9809","75-2854259",2012,693827,469060
"9810","75-2854259",2013,520643,403175
"9811","75-2854259",2014,629963,583095
"9812","75-2854259",2015,643495,340484
"9813","75-2854259",2016,897158,341098
"9814","75-2854259",2017,1074469,460596
"9815","75-2854259",2018,958528,244102
"9816","75-2854259",2019,1003232,213057
"9817","71-0623643",2009,3617021,1692198
"9818","71-0623643",2010,4437035,1893012
"9819","71-0623643",2011,4651818,1728520
"9820","71-0623643",2012,5180794,1594375
"9821","71-0623643",2013,5389853,1618612
"9822","71-0623643",2014,6510710,1538374
"9823","71-0623643",2015,7704341,1558184
"9824","71-0623643",2016,8962010,2123187
"9825","71-0623643",2017,10369221,2380161
"9826","71-0623643",2018,12662574,3334349
"9827","71-0623643",2019,12889693,3376445
"9828","71-0623643",2020,15190642,4771207
"9829","71-0623643",2021,21118709,5128664
"9830","71-0623643",2022,29379904,9307345
"9831","85-0336893",2009,2838830,1466870
"9832","85-0336893",2010,3365276,1210764
"9833","85-0336893",2011,4624914,1332843
"9834","85-0336893",2012,4214783,1658167
"9835","85-0336893",2013,4337762,2015915
"9836","85-0336893",2014,4629151,1381336
"9837","85-0336893",2015,5790090,1363326
"9838","85-0336893",2016,7971931,1672257
"9839","85-0336893",2017,9095875,1433357
"9840","85-0336893",2018,11069628,2086383
"9841","85-0336893",2019,11896401,2697941
"9842","85-0336893",2020,17235266,5450848
"9843","82-0579411",2009,982982,331233
"9844","82-0579411",2010,1295530,361139
"9845","82-0579411",2011,2119811,472301
"9846","82-0579411",2012,2159035,383743
"9847","82-0579411",2013,2406785,356001
"9848","82-0579411",2014,2866126,439571
"9849","82-0579411",2015,3509606,521931
"9850","82-0579411",2016,3888341,294424
"9851","82-0579411",2017,8240128,2131916
"9852","82-0579411",2018,9806155,1220256
"9853","82-0579411",2019,12412110,1467033
"9854","82-0579411",2020,14076879,1145386
"9855","82-0579411",2021,22226026,5834585
"9856","82-0579411",2022,22543593,4624831
"9857","56-2508501",2008,300574,126859
"9858","56-2508501",2009,356631,126625
"9859","56-2508501",2010,519845,99018
"9860","56-2508501",2011,946483,162903
"9861","56-2508501",2012,1478460,608388
"9862","56-2508501",2013,1826227,607078
"9863","56-2508501",2014,1969934,675330
"9864","56-2508501",2015,2272625,659744
"9865","56-2508501",2016,3051522,682749
"9866","56-2508501",2017,4204386,747920
"9867","56-2508501",2018,5584349,907638
"9868","56-2508501",2019,6211217,848924
"9869","56-2508501",2020,7898966,1530281
"9870","56-2508501",2021,9564115,1811010
"9871","20-8787477",2008,268605,44519
"9872","20-8787477",2009,399674,41895
"9873","20-8787477",2010,3211032,35404
"9874","20-8787477",2011,3582065,99842
"9875","20-8787477",2012,3659542,140232
"9876","20-8787477",2013,3511893,162275
"9877","20-8787477",2014,3609319,173063
"9878","20-8787477",2015,4025818,253306
"9879","20-8787477",2016,5439527,269757
"9880","20-8787477",2017,5752078,314501
"9881","20-8787477",2018,6396828,412584
"9882","20-8787477",2019,6741031,452538
"9883","20-8787477",2020,7244543,331164
"9884","20-8787477",2021,9503263,485517
"9885","03-0538912",2009,213220,186629
"9886","03-0538912",2010,206680,253640
"9887","03-0538912",2011,223484,275921
"9888","03-0538912",2012,319454,647928
"9889","03-0538912",2013,591156,823127
"9890","03-0538912",2014,1183895,678385
"9891","03-0538912",2015,2229855,727191
"9892","03-0538912",2016,3962947,919097
"9893","03-0538912",2017,7702464,1535465
"9894","03-0538912",2018,11999304,1576733
"9895","03-0538912",2019,15068640,1590302
"9896","03-0538912",2020,20035361,6077977
"9897","03-0538912",2021,20165568,2757575
"9898","20-3008507",2008,677147,417952
"9899","20-3008507",2009,640296,449452
"9900","20-3008507",2010,1028887,586297
"9901","20-3008507",2011,1394220,428733
"9902","20-3008507",2012,1498623,406296
"9903","20-3008507",2013,1762084,444306
"9904","20-3008507",2014,1935897,525105
"9905","20-3008507",2015,2246756,521914
"9906","20-3008507",2016,3130301,519705
"9907","20-3008507",2017,3741956,388314
"9908","20-3008507",2018,4700708,244563
"9909","20-3008507",2019,5588858,256874
"9910","20-3008507",2020,7646951,1224999
"9911","20-3008507",2021,9714597,381709
"9912","72-1193464",2009,4939342,3399566
"9913","72-1193464",2010,2322622,1158496
"9914","72-1193464",2011,1657889,1547583
"9915","72-1193464",2012,3068566,1042407
"9916","72-1193464",2013,4201363,1056627
"9917","72-1193464",2014,2766613,1281846
"9918","72-1193464",2015,2525948,1640626
"9919","72-1193464",2016,1465824,1621851
"9920","72-1193464",2017,1853523,1374568
"9921","72-1193464",2018,1180612,793982
"9922","72-1193464",2019,1126603,1034699
"9923","72-1193464",2020,1938104,1811650
"9924","72-1193464",2021,1680143,1055978
"9925","58-2003179",2009,1051652,131672
"9926","58-2003179",2010,1336945,150063
"9927","58-2003179",2011,1846928,550284
"9928","58-2003179",2012,2447570,695746
"9929","58-2003179",2013,3452802,907386
"9930","58-2003179",2014,3991213,905997
"9931","58-2003179",2015,4412946,914599
"9932","58-2003179",2016,4948031,942204
"9933","58-2003179",2017,5349192,791608
"9934","58-2003179",2018,5895153,341809
"9935","58-2003179",2019,6772695,354866
"9936","58-2003179",2020,7808130,1351628
"9937","58-2003179",2021,7398625,686415
"9938","58-2003179",2022,7359171,445418
"9939","75-2424925",2008,5925371,1922022
"9940","75-2424925",2009,5790712,1978150
"9941","75-2424925",2010,6371588,2915295
"9942","75-2424925",2011,7262975,3343444
"9943","75-2424925",2012,7187850,2983336
"9944","75-2424925",2013,8766283,2823016
"9945","75-2424925",2014,9760107,3200725
"9946","75-2424925",2015,19385730,8156960
"9947","75-2424925",2016,17217654,7467045
"9948","75-2424925",2017,17112997,6849494
"9949","75-2424925",2018,18700598,6190013
"9950","75-2424925",2019,18759202,5860046
"9951","75-2424925",2020,19793131,6756408
"9952","75-2424925",2021,21424060,5005219
"9953","85-0265533",2009,4957281,2391482
"9954","85-0265533",2010,8830527,6574444
"9955","85-0265533",2011,10342943,6267198
"9956","85-0265533",2012,12098329,7078610
"9957","85-0265533",2013,14783850,5996290
"9958","85-0265533",2014,13853727,6343857
"9959","85-0265533",2015,16924044,6898925
"9960","85-0265533",2016,20394033,7884688
"9961","85-0265533",2017,9739634,13547352
"9962","85-0265533",2018,11636417,10323886
"9963","85-0265533",2019,15495415,10200053
"9964","85-0265533",2020,29091822,15018893
"9965","85-0265533",2021,40021169,14907930
"9966","85-0265533",2022,45542537,8210202
"9967","74-1787031",2009,32545330,19344958
"9968","74-1787031",2010,33406316,18566092
"9969","74-1787031",2012,45148450,20709721
"9970","74-1787031",2013,46435987,20543553
"9971","74-1787031",2014,46165265,19531197
"9972","74-1787031",2015,46520014,19339478
"9973","74-1787031",2016,51290786,18794837
"9974","74-1787031",2017,55662424,17049866
"9975","74-1787031",2018,61580343,16563431
"9976","74-1787031",2019,64169356,16045964
"9977","74-1787031",2020,75612484,23745769
"9978","74-1787031",2021,81478303,22994315
"9979","74-1787031",2022,91252083,21504652
"9980","72-1015384",2009,12813645,907979
"9981","72-1015384",2010,13400849,1052697
"9982","72-1015384",2011,17686134,1386280
"9983","72-1015384",2012,17668762,840312
"9984","72-1015384",2014,16932661,1687998
"9985","72-1015384",2015,15875943,1618399
"9986","72-1015384",2016,14880035,1266548
"9987","72-1015384",2017,15076292,1155906
"9988","72-1015384",2018,15350103,1418132
"9989","72-1015384",2019,16246350,2212501
"9990","72-1015384",2020,18024094,3914310
"9991","72-1015384",2021,20427797,4344746
"9992","72-1015384",2022,23169398,3215268
"9993","85-0206810",2008,39308158,23164915
"9994","85-0206810",2009,38479884,22288441
"9995","85-0206810",2010,42349807,22513381
"9996","85-0206810",2011,43598406,22777688
"9997","85-0206810",2012,43261831,21656020
"9998","85-0206810",2013,46747292,27126322
"9999","85-0206810",2014,49314268,21837944
"10000","85-0206810",2015,58036623,21689710
"10001","85-0206810",2016,56506238,21396737
"10002","85-0206810",2017,57366673,19073281
"10003","85-0206810",2018,62515745,18929042
"10004","85-0206810",2019,69895470,24668838
"10005","85-0206810",2020,99294238,24720241
"10006","85-0206810",2021,110320663,25463155
"10007","46-3277887",2013,10680710,10270695
"10008","46-3277887",2017,8562606,10413757
"10009","46-3277887",2019,7426907,10395814
"10010","46-3277887",2020,7128836,10390116
"10011","46-3277887",2021,0,0
"10012","72-1212880",2009,2630781,941383
"10013","72-1212880",2010,3096433,1868510
"10014","72-1212880",2011,7531860,4015178
"10015","72-1212880",2012,9423694,3871104
"10016","72-1212880",2013,10195413,4012198
"10017","72-1212880",2014,10301411,3876024
"10018","72-1212880",2015,10302801,3542997
"10019","72-1212880",2016,10948041,3440116
"10020","72-1212880",2017,12897846,3330642
"10021","72-1212880",2018,14212785,3618230
"10022","72-1212880",2019,13613607,3483717
"10023","72-1212880",2020,13213275,3361293
"10024","72-1212880",2021,12884053,2415279
"10025","71-0715998",2009,4084044,2509800
"10026","71-0715998",2010,4771679,2345064
"10027","71-0715998",2011,4941659,2275831
"10028","71-0715998",2012,5121126,2269678
"10029","71-0715998",2013,6652436,3535189
"10030","71-0715998",2014,7923669,3817386
"10031","71-0715998",2015,10248726,4512697
"10032","71-0715998",2016,13174565,5005751
"10033","71-0715998",2017,14599598,5157101
"10034","71-0715998",2018,17308166,5117306
"10035","71-0715998",2019,20523325,5232444
"10036","71-0715998",2020,25698007,7644394
"10037","71-0715998",2021,30108246,4234874
"10038","71-0715998",2022,35278818,3627373
"10039","71-0717967",2009,7999997,4413752
"10040","71-0717967",2010,8217162,4073649
"10041","71-0717967",2011,8713756,4024853
"10042","71-0717967",2012,9840925,3782251
"10043","71-0717967",2013,10363820,3689926
"10044","71-0717967",2014,12111381,3067228
"10045","71-0717967",2015,13123128,2258078
"10046","71-0717967",2016,13429261,2170672
"10047","71-0717967",2017,15580639,2786340
"10048","71-0717967",2018,18285892,2673322
"10049","71-0717967",2019,21925305,2606517
"10050","71-0717967",2020,28724532,5770058
"10051","71-0717967",2021,33485948,1153757
"10052","75-2429644",2009,8067651,234951
"10053","75-2429644",2010,8956986,444822
"10054","75-2429644",2011,8972263,301511
"10055","75-2429644",2012,8311098,445988
"10056","75-2429644",2013,8304812,513447
"10057","75-2429644",2014,10594684,612227
"10058","75-2429644",2015,9805995,471301
"10059","75-2429644",2016,9443295,719655
"10060","75-2429644",2017,10049567,1039442
"10061","75-2429644",2018,9252042,1314854
"10062","75-2429644",2019,10870776,1663665
"10063","75-2429644",2020,14394669,4794125
"10064","75-2429644",2021,16688407,2800394
"10065","75-2429644",2022,18786893,3649188
"10066","73-1177858",2009,17978060,1380816
"10067","73-1177858",2010,17614587,1213684
"10068","73-1177858",2011,17932096,1468763
"10069","73-1177858",2012,17619385,948602
"10070","73-1177858",2013,17334009,1191688
"10071","73-1177858",2014,17615497,1988104
"10072","73-1177858",2015,16879137,2027593
"10073","73-1177858",2016,16634641,1650225
"10074","73-1177858",2017,18561755,1729350
"10075","73-1177858",2018,20591391,1094758
"10076","73-1177858",2019,21542662,1301626
"10077","73-1177858",2020,21626823,1208092
"10078","73-1177858",2021,25144781,2317408
"10079","73-1177858",2022,28114771,1083371
"10080","74-2269739",2009,6469998,1203325
"10081","74-2269739",2010,6405120,936777
"10082","74-2269739",2011,7701073,1019688
"10083","74-2269739",2012,8404693,826936
"10084","74-2269739",2013,9066481,850496
"10085","74-2269739",2014,8738188,779238
"10086","74-2269739",2015,8234564,541618
"10087","74-2269739",2016,8766168,655993
"10088","74-2269739",2017,9957184,608486
"10089","74-2269739",2018,10993706,640197
"10090","74-2269739",2019,11580775,767261
"10091","74-2269739",2020,12559937,1425286
"10092","74-2269739",2021,14273365,1164782
"10093","85-0220875",2009,6151443,1806271
"10094","85-0220875",2010,6080655,1281899
"10095","85-0220875",2011,7797799,1412747
"10096","85-0220875",2012,11422554,1616053
