"","EIN","Year","Staff"
"6354","39-1181480","2011","72"
"6355","39-1181480","2012","77"
"6356","39-1181480","2013","79"
"6357","39-1181480","2014","90"
"6358","39-1181480","2015","85"
"6359","39-1181480","2016","76"
"6360","39-1181480","2017","98"
"6361","39-1181480","2018","128"
"6362","39-1181480","2019","144"
"6363","39-1181480","2020","195"
"6364","39-1181480","2021","218"
"6365","34-1300581","2009","80"
"6366","34-1300581","2010","92"
"6367","34-1300581","2011","97"
"6368","34-1300581","2012","98"
"6369","34-1300581","2013","111"
"6370","34-1300581","2014","120"
"6371","34-1300581","2015","133"
"6372","34-1300581","2016","154"
"6373","34-1300581","2017","194"
"6374","34-1300581","2018","201"
"6375","34-1300581","2019","219"
"6376","34-1300581","2020","229"
"6377","34-1300581","2021","223"
"6378","34-1120194","2009","88"
"6379","34-1120194","2010","88"
"6380","34-1120194","2011","96"
"6381","34-1120194","2012","86"
"6382","34-1120194","2013","97"
"6383","34-1120194","2014","109"
"6384","34-1120194","2015","110"
"6385","34-1120194","2016","100"
"6386","34-1120194","2017","118"
"6387","34-1120194","2018","123"
"6388","34-1120194","2019","138"
"6389","34-1120194","2020","143"
"6390","34-1120194","2021","159"
"6391","31-0884250","2008","370"
"6392","31-0884250","2009","0"
"6393","31-0884250","2010","361"
"6394","31-0884250","2011","316"
"6395","31-0884250","2012","306"
"6396","31-0884250","2013","314"
"6397","31-0884250","2014","333"
"6398","31-0884250","2015","267"
"6399","31-0884250","2016","329"
"6400","31-0884250","2017","349"
"6401","31-0884250","2018","381"
"6402","31-0884250","2019","453"
"6403","38-3014011","2008","156"
"6404","38-3014011","2009","162"
"6405","38-3014011","2010","173"
"6406","38-3014011","2011","183"
"6407","38-3014011","2012","194"
"6408","38-3014011","2013","207"
"6409","38-3014011","2014","213"
"6410","38-3014011","2015","255"
"6411","38-3014011","2016","250"
"6412","38-3014011","2017","254"
"6413","38-3014011","2018","245"
"6414","38-3014011","2019","262"
"6415","38-3014011","2020","320"
"6416","36-3845253","2008","59"
"6417","36-3845253","2009","70"
"6418","36-3845253","2010","74"
"6419","36-3845253","2011","76"
"6420","36-3845253","2012","75"
"6421","36-3845253","2013","82"
"6422","36-3845253","2014","111"
"6423","36-3845253","2015","124"
"6424","36-3845253","2016","154"
"6425","36-3845253","2017","157"
"6426","36-3845253","2018","172"
"6427","36-3845253","2019","183"
"6428","36-3845253","2021","224"
"6429","23-7167576","2008","92"
"6430","23-7167576","2009","94"
"6431","23-7167576","2010","92"
"6432","23-7167576","2011","103"
"6433","23-7167576","2012","100"
"6434","23-7167576","2013","102"
"6435","23-7167576","2014","101"
"6436","23-7167576","2015","107"
"6437","23-7167576","2016","106"
"6438","23-7167576","2017","99"
"6439","23-7167576","2018","114"
"6440","23-7167576","2019","129"
"6441","23-7167576","2020","154"
"6442","23-7167576","2021","164"
"6443","36-2743287","2009","74"
"6444","36-2743287","2010","56"
"6445","36-2743287","2011","74"
"6446","36-2743287","2012","72"
"6447","36-2743287","2013","72"
"6448","36-2743287","2014","72"
"6449","36-2743287","2015","80"
"6450","36-2743287","2016","83"
"6451","36-2743287","2017","84"
"6452","36-2743287","2018","97"
"6453","36-2743287","2019","86"
"6454","36-2743287","2020","80"
"6455","36-2743287","2021","92"
"6456","36-2893854","2009","212"
"6457","36-2893854","2010","278"
"6458","36-2893854","2011","284"
"6459","36-2893854","2012","234"
"6460","36-2893854","2013","257"
"6461","36-2893854","2014","266"
"6462","36-2893854","2015","299"
"6463","36-2893854","2016","305"
"6464","36-2893854","2017","298"
"6465","36-2893854","2018","335"
"6466","36-2893854","2019","330"
"6467","36-2893854","2020","330"
"6468","36-2893854","2021","300"
"6469","35-2018494","2009","152"
"6470","35-2018494","2010","141"
"6471","35-2018494","2011","122"
"6472","35-2018494","2012","187"
"6473","35-2018494","2013","187"
"6474","35-2018494","2014","194"
"6475","35-2018494","2015","211"
"6476","35-2018494","2016","211"
"6477","35-2018494","2017","223"
"6478","35-2018494","2018","201"
"6479","35-2018494","2019","220"
"6480","35-2018494","2020","237"
"6481","35-2018494","2021","264"
"6482","39-1958810","2009","76"
"6483","39-1958810","2010","86"
"6484","39-1958810","2012","93"
"6485","39-1958810","2013","104"
"6486","39-1958810","2014","91"
"6487","39-1958810","2015","92"
"6488","39-1958810","2016","135"
"6489","39-1958810","2017","135"
"6490","39-1958810","2018","138"
"6491","39-1958810","2019","144"
"6492","39-1958810","2020","155"
"6493","39-1958810","2021","150"
"6494","36-3799834","2009","268"
"6495","36-3799834","2010","312"
"6496","36-3799834","2011","351"
"6497","36-3799834","2012","264"
"6498","36-3799834","2013","265"
"6499","36-3799834","2014","219"
"6500","36-3799834","2015","221"
"6501","36-3799834","2016","203"
"6502","36-3799834","2017","193"
"6503","36-3799834","2018","196"
"6504","36-3799834","2019","199"
"6505","36-3799834","2020","200"
"6506","36-3799834","2021","208"
"6507","36-3843377","2009","0"
"6508","36-3843377","2010","56"
"6509","36-3843377","2011","65"
"6510","36-3843377","2012","87"
"6511","36-3843377","2014","133"
"6512","36-3843377","2015","156"
"6513","36-3843377","2016","179"
"6514","36-3843377","2017","203"
"6515","36-3843377","2018","212"
"6516","36-3843377","2019","228"
"6517","36-3843377","2020","263"
"6518","36-3843377","2021","274"
"6519","35-1948768","2008","32"
"6520","35-1948768","2009","42"
"6521","35-1948768","2010","46"
"6522","35-1948768","2011","54"
"6523","35-1948768","2012","52"
"6524","35-1948768","2013","51"
"6525","35-1948768","2014","49"
"6526","35-1948768","2015","53"
"6527","35-1948768","2016","72"
"6528","35-1948768","2017","72"
"6529","35-1948768","2018","76"
"6530","35-1948768","2019","67"
"6531","35-1948768","2020","85"
"6532","35-1948768","2021","77"
"6533","39-1391134","2009","168"
"6534","39-1391134","2010","219"
"6535","39-1391134","2011","230"
"6536","39-1391134","2012","266"
"6537","39-1391134","2013","268"
"6538","39-1391134","2014","272"
"6539","39-1391134","2015","291"
"6540","39-1391134","2016","289"
"6541","39-1391134","2017","272"
"6542","39-1391134","2018","276"
"6543","39-1391134","2019","289"
"6544","39-1391134","2020","314"
"6545","39-1391134","2021","301"
"6546","31-1182378","2008","6"
"6547","31-1182378","2009","6"
"6548","31-1182378","2010","9"
"6549","31-1182378","2011","9"
"6550","31-1182378","2012","19"
"6551","31-1182378","2013","16"
"6552","31-1182378","2014","17"
"6553","31-1182378","2015","21"
"6554","31-1182378","2016","21"
"6555","31-1182378","2017","29"
"6556","31-1182378","2018","35"
"6557","31-1182378","2019","39"
"6558","23-7241323","2008","45"
"6559","23-7241323","2009","49"
"6560","23-7241323","2010","65"
"6561","23-7241323","2011","65"
"6562","23-7241323","2013","67"
"6563","23-7241323","2014","66"
"6564","23-7241323","2015","82"
"6565","23-7241323","2016","76"
"6566","23-7241323","2017","90"
"6567","23-7241323","2018","78"
"6568","23-7241323","2019","88"
"6569","56-2330309","2008","87"
"6570","56-2330309","2009","101"
"6571","56-2330309","2010","123"
"6572","56-2330309","2011","125"
"6573","56-2330309","2012","137"
"6574","56-2330309","2014","242"
"6575","56-2330309","2015","273"
"6576","56-2330309","2016","273"
"6577","56-2330309","2017","336"
"6578","56-2330309","2018","380"
"6579","56-2330309","2019","380"
"6580","56-2330309","2020","420"
"6581","56-2330309","2021","475"
"6582","31-0714190","2008","519"
"6583","31-0714190","2009","635"
"6584","31-0714190","2010","593"
"6585","31-0714190","2011","526"
"6586","31-0714190","2012","653"
"6587","31-0714190","2013","433"
"6588","31-0714190","2014","451"
"6589","31-0714190","2015","505"
"6590","31-0714190","2016","489"
"6591","31-0714190","2017","470"
"6592","31-0714190","2018","460"
"6593","31-0714190","2019","474"
"6594","41-0982430","2008","62"
"6595","41-0982430","2009","64"
"6596","41-0982430","2010","84"
"6597","41-0982430","2011","93"
"6598","41-0982430","2012","95"
"6599","41-0982430","2013","103"
"6600","41-0982430","2014","113"
"6601","41-0982430","2015","119"
"6602","41-0982430","2016","115"
"6603","41-0982430","2017","114"
"6604","41-0982430","2018","104"
"6605","41-0982430","2019","97"
"6606","41-0982430","2020","101"
"6607","38-2150252","2009","80"
"6608","38-2150252","2010","76"
"6609","38-2150252","2011","68"
"6610","38-2150252","2012","62"
"6611","38-2150252","2013","78"
"6612","38-2150252","2014","69"
"6613","38-2150252","2015","69"
"6614","38-2150252","2016","88"
"6615","38-2150252","2017","88"
"6616","38-2150252","2018","90"
"6617","38-2150252","2019","94"
"6618","38-2150252","2020","93"
"6619","38-2150252","2021","97"
"6620","06-1645027","2008","29"
"6621","06-1645027","2009","39"
"6622","06-1645027","2010","43"
"6623","06-1645027","2011","47"
"6624","06-1645027","2013","63"
"6625","06-1645027","2014","81"
"6626","06-1645027","2015","81"
"6627","06-1645027","2016","118"
"6628","06-1645027","2017","102"
"6629","06-1645027","2018","106"
"6630","06-1645027","2019","106"
"6631","36-3317058","2009","846"
"6632","36-3317058","2010","1084"
"6633","36-3317058","2011","1149"
"6634","36-3317058","2012","1118"
"6635","36-3317058","2013","1070"
"6636","36-3317058","2014","1093"
"6637","36-3317058","2015","1060"
"6638","36-3317058","2016","1086"
"6639","36-3317058","2017","1168"
"6640","36-3317058","2018","1139"
"6641","36-3317058","2019","1120"
"6642","36-3317058","2020","1159"
"6643","36-3317058","2020","1218"
"6644","36-3317058","2021","1287"
"6645","41-0977740","2009","90"
"6646","41-0977740","2010","84"
"6647","41-0977740","2011","91"
"6648","41-0977740","2012","89"
"6649","41-0977740","2013","85"
"6650","41-0977740","2014","79"
"6651","41-0977740","2015","92"
"6652","41-0977740","2016","84"
"6653","41-0977740","2017","75"
"6654","41-0977740","2018","89"
"6655","41-0977740","2019","92"
"6656","41-0977740","2020","102"
"6657","41-0977740","2021","108"
"6658","23-7272741","2009","117"
"6659","23-7272741","2010","123"
"6660","23-7272741","2011","130"
"6661","23-7272741","2013","147"
"6662","23-7272741","2014","147"
"6663","23-7272741","2015","149"
"6664","23-7272741","2016","167"
"6665","23-7272741","2017","191"
"6666","34-1748776","2009","64"
"6667","34-1748776","2011","81"
"6668","34-1748776","2012","84"
"6669","34-1748776","2013","79"
"6670","34-1748776","2014","78"
"6671","34-1748776","2015","100"
"6672","34-1748776","2016","134"
"6673","34-1748776","2017","146"
"6674","34-1748776","2018","194"
"6675","34-1748776","2019","194"
"6676","34-1748776","2020","206"
"6677","34-1748776","2021","160"
"6678","01-0567661","2009","33"
"6679","01-0567661","2010","41"
"6680","01-0567661","2012","49"
"6681","01-0567661","2013","43"
"6682","01-0567661","2014","56"
"6683","01-0567661","2015","67"
"6684","01-0567661","2016","92"
"6685","01-0567661","2017","71"
"6686","01-0567661","2018","89"
"6687","01-0567661","2019","89"
"6688","01-0567661","2020","95"
"6689","01-0567661","2021","102"
"6690","35-2028588","2009","103"
"6691","35-2028588","2010","187"
"6692","35-2028588","2011","216"
"6693","35-2028588","2012","238"
"6694","35-2028588","2013","248"
"6695","35-2028588","2014","322"
"6696","35-2028588","2015","381"
"6697","35-2028588","2016","381"
"6698","35-2028588","2017","365"
"6699","35-2028588","2018","406"
"6700","35-2028588","2019","394"
"6701","35-2028588","2020","418"
"6702","35-2028588","2021","442"
"6703","35-2001054","2008","71"
"6704","35-2001054","2009","77"
"6705","35-2001054","2010","92"
"6706","35-2001054","2011","102"
"6707","35-2001054","2012","121"
"6708","35-2001054","2013","145"
"6709","35-2001054","2014","144"
"6710","35-2001054","2015","160"
"6711","35-2001054","2016","173"
"6712","35-2001054","2017","180"
"6713","35-2001054","2018","190"
"6714","35-2001054","2019","221"
"6715","38-3765547","2009","10"
"6716","38-3765547","2010","31"
"6717","38-3765547","2011","44"
"6718","38-3765547","2012","56"
"6719","38-3765547","2013","70"
"6720","38-3765547","2014","58"
"6721","38-3765547","2015","83"
"6722","38-3765547","2016","91"
"6723","38-3765547","2017","91"
"6724","38-3765547","2018","93"
"6725","38-3765547","2019","106"
"6726","38-3765547","2019","135"
"6727","38-3765547","2020","152"
"6728","37-1270794","2009","98"
"6729","37-1270794","2010","111"
"6730","37-1270794","2011","104"
"6731","37-1270794","2012","96"
"6732","37-1270794","2013","96"
"6733","37-1270794","2014","109"
"6734","37-1270794","2015","153"
"6735","37-1270794","2016","201"
"6736","37-1270794","2017","206"
"6737","37-1270794","2018","233"
"6738","37-1270794","2019","228"
"6739","37-1270794","2020","228"
"6740","37-1270794","2021","253"
"6741","38-2724796","2008","74"
"6742","38-2724796","2009","74"
"6743","38-2724796","2010","85"
"6744","38-2724796","2011","83"
"6745","38-2724796","2012","105"
"6746","38-2724796","2013","111"
"6747","38-2724796","2014","115"
"6748","38-2724796","2015","133"
"6749","38-2724796","2016","111"
"6750","38-2724796","2017","132"
"6751","38-2724796","2018","155"
"6752","38-2724796","2019","191"
"6753","36-3775696","2009","300"
"6754","36-3775696","2010","310"
"6755","36-3775696","2012","277"
"6756","36-3775696","2013","276"
"6757","36-3775696","2014","287"
"6758","36-3775696","2015","313"
"6759","36-3775696","2016","304"
"6760","36-3775696","2017","299"
"6761","36-3775696","2018","323"
"6762","36-3775696","2019","336"
"6763","36-3775696","2020","272"
"6764","36-3775696","2021","284"
"6765","39-1353282","2008","102"
"6766","39-1353282","2009","95"
"6767","39-1353282","2010","103"
"6768","39-1353282","2011","113"
"6769","39-1353282","2012","118"
"6770","39-1353282","2013","140"
"6771","39-1353282","2014","139"
"6772","39-1353282","2015","169"
"6773","39-1353282","2016","174"
"6774","39-1353282","2017","185"
"6775","39-1353282","2018","188"
"6776","39-1353282","2019","190"
"6777","38-2170985","2009","207"
"6778","38-2170985","2010","243"
"6779","38-2170985","2011","216"
"6780","38-2170985","2012","244"
"6781","38-2170985","2013","248"
"6782","38-2170985","2014","244"
"6783","38-2170985","2015","256"
"6784","38-2170985","2016","262"
"6785","38-2170985","2017","260"
"6786","38-2170985","2018","374"
"6787","38-2170985","2019","366"
"6788","38-2170985","2020","371"
"6789","38-2170985","2021","394"
"6790","38-2853534","2009","440"
"6791","38-2853534","2010","470"
"6792","38-2853534","2011","498"
"6793","38-2853534","2012","796"
"6794","38-2853534","2013","979"
"6795","38-2853534","2014","995"
"6796","38-2853534","2015","986"
"6797","38-2853534","2016","965"
"6798","38-2853534","2017","1024"
"6799","38-2853534","2018","1086"
"6800","38-2853534","2019","1114"
"6801","38-2853534","2020","1099"
"6802","38-2853534","2021","1081"
"6803","38-2853534","2022","1065"
"6804","38-2824772","2009","121"
"6805","38-2824772","2010","121"
"6806","38-2824772","2011","122"
"6807","38-2824772","2012","124"
"6808","38-2824772","2013","141"
"6809","38-2824772","2014","121"
"6810","38-2824772","2015","130"
"6811","38-2824772","2016","139"
"6812","38-2824772","2017","133"
"6813","38-2824772","2018","130"
"6814","38-2824772","2019","133"
"6815","38-2824772","2020","134"
"6816","38-2824772","2022","139"
"6817","39-1664109","2009","272"
"6818","39-1664109","2010","273"
"6819","39-1664109","2011","0"
"6820","39-1664109","2012","327"
"6821","39-1664109","2013","307"
"6822","39-1664109","2014","276"
"6823","39-1664109","2015","260"
"6824","39-1664109","2016","241"
"6825","39-1664109","2017","226"
"6826","39-1664109","2018","252"
"6827","39-1664109","2019","263"
"6828","39-1664109","2020","249"
"6829","39-1664109","2021","241"
"6830","37-1041283","2009","209"
"6831","37-1041283","2010","199"
"6832","37-1041283","2011","201"
"6833","37-1041283","2012","228"
"6834","37-1041283","2013","360"
"6835","37-1041283","2014","351"
"6836","37-1041283","2015","299"
"6837","37-1041283","2016","282"
"6838","37-1041283","2017","291"
"6839","37-1041283","2018","308"
"6840","37-1041283","2019","321"
"6841","37-1041283","2020","343"
"6842","37-1041283","2021","348"
"6843","37-1041283","2022","386"
"6844","37-1067171","2008","59"
"6845","37-1067171","2009","57"
"6846","37-1067171","2010","69"
"6847","37-1067171","2011","69"
"6848","37-1067171","2012","62"
"6849","37-1067171","2013","61"
"6850","37-1067171","2014","50"
"6851","37-1067171","2015","49"
"6852","37-1067171","2016","59"
"6853","37-1067171","2017","56"
"6854","37-1067171","2018","59"
"6855","37-1067171","2019","48"
"6856","37-1056692","2009","98"
"6857","37-1056692","2010","96"
"6858","37-1056692","2011","88"
"6859","37-1056692","2012","86"
"6860","37-1056692","2013","86"
"6861","37-1056692","2014","90"
"6862","37-1056692","2015","92"
"6863","37-1056692","2016","85"
"6864","37-1056692","2017","99"
"6865","37-1056692","2018","100"
"6866","37-1056692","2019","106"
"6867","37-1056692","2020","115"
"6868","37-1056692","2021","111"
"6869","38-2080825","2009","109"
"6870","38-2080825","2010","110"
"6871","38-2080825","2011","117"
"6872","38-2080825","2012","131"
"6873","38-2080825","2013","115"
"6874","38-2080825","2014","111"
"6875","38-2080825","2015","126"
"6876","38-2080825","2016","105"
"6877","38-2080825","2017","104"
"6878","38-2080825","2018","112"
"6879","38-2080825","2019","125"
"6880","38-2080825","2020","137"
"6881","38-2080825","2021","99"
"6882","38-2205859","2009","75"
"6883","38-2205859","2010","91"
"6884","38-2205859","2011","95"
"6885","38-2205859","2012","95"
"6886","38-2205859","2013","102"
"6887","38-2205859","2014","106"
"6888","38-2205859","2015","98"
"6889","38-2205859","2016","123"
"6890","38-2205859","2017","132"
"6891","38-2205859","2018","123"
"6892","38-2205859","2019","124"
"6893","38-2205859","2020","128"
"6894","38-2205859","2021","134"
"6895","31-1155352","2009","155"
"6896","31-1155352","2010","152"
"6897","31-1155352","2011","167"
"6898","31-1155352","2012","170"
"6899","31-1155352","2013","432"
"6900","31-1155352","2014","469"
"6901","31-1155352","2015","509"
"6902","31-1155352","2016","526"
"6903","31-1155352","2017","604"
"6904","31-1155352","2018","823"
"6905","31-1155352","2019","911"
"6906","36-2182095","2009","291"
"6907","36-2182095","2010","322"
"6908","36-2182095","2011","334"
"6909","36-2182095","2012","384"
"6910","36-2182095","2013","436"
"6911","36-2182095","2014","490"
"6912","36-2182095","2015","549"
"6913","36-2182095","2016","552"
"6914","36-2182095","2017","502"
"6915","36-2182095","2018","483"
"6916","36-2182095","2019","478"
"6917","36-2182095","2020","464"
"6918","36-2182095","2021","516"
"6919","35-1875364","2009","83"
"6920","35-1875364","2010","91"
"6921","35-1875364","2011","118"
"6922","35-1875364","2012","113"
"6923","35-1875364","2013","123"
"6924","35-1875364","2014","126"
"6925","35-1875364","2015","155"
"6926","35-1875364","2016","164"
"6927","35-1875364","2017","144"
"6928","35-1875364","2018","137"
"6929","35-1875364","2019","138"
"6930","35-1875364","2020","129"
"6931","35-1875364","2021","203"
"6932","20-2090446","2008","39"
"6933","20-2090446","2009","46"
"6934","20-2090446","2010","56"
"6935","20-2090446","2011","80"
"6936","20-2090446","2012","94"
"6937","20-2090446","2013","103"
"6938","20-2090446","2014","125"
"6939","20-2090446","2015","138"
"6940","20-2090446","2016","146"
"6941","20-2090446","2017","145"
"6942","20-2090446","2018","152"
"6943","20-2090446","2019","158"
"6944","20-2090446","2020","154"
"6945","41-1347593","2009","34"
"6946","41-1347593","2010","35"
"6947","41-1347593","2011","33"
"6948","41-1347593","2012","36"
"6949","41-1347593","2013","38"
"6950","41-1347593","2014","42"
"6951","41-1347593","2015","46"
"6952","41-1347593","2016","49"
"6953","41-1347593","2017","49"
"6954","41-1347593","2018","55"
"6955","41-1347593","2019","54"
"6956","41-1347593","2021","67"
"6957","41-1347593","2022","78"
"6958","41-1344385","2009","88"
"6959","41-1344385","2010","86"
"6960","41-1344385","2011","88"
"6961","41-1344385","2012","99"
"6962","41-1344385","2013","104"
"6963","41-1344385","2014","118"
"6964","41-1344385","2015","134"
"6965","41-1344385","2016","131"
"6966","41-1344385","2017","138"
"6967","41-1344385","2018","145"
"6968","41-1344385","2019","158"
"6969","41-1344385","2021","173"
"6970","36-3381598","2008","124"
"6971","36-3381598","2009","135"
"6972","36-3381598","2010","126"
"6973","36-3381598","2011","121"
"6974","36-3381598","2012","112"
"6975","36-3381598","2013","98"
"6976","36-3381598","2014","106"
"6977","36-3381598","2015","106"
"6978","36-3381598","2016","103"
"6979","36-3381598","2017","109"
"6980","36-3381598","2018","111"
"6981","36-3381598","2019","130"
"6982","23-7076080","2009","336"
"6983","23-7076080","2010","342"
"6984","23-7076080","2011","307"
"6985","23-7076080","2012","322"
"6986","23-7076080","2013","336"
"6987","23-7076080","2014","340"
"6988","23-7076080","2015","349"
"6989","23-7076080","2016","378"
"6990","23-7076080","2017","385"
"6991","23-7076080","2018","410"
"6992","23-7076080","2019","408"
"6993","23-7076080","2020","404"
"6994","23-7076080","2021","415"
"6995","31-0718042","2008","344"
"6996","31-0718042","2009","396"
"6997","31-0718042","2010","471"
"6998","31-0718042","2011","368"
"6999","31-0718042","2012","382"
"7000","31-0718042","2013","415"
"7001","31-0718042","2014","456"
"7002","31-0718042","2015","431"
"7003","31-0718042","2016","404"
"7004","31-0718042","2017","352"
"7005","31-0718042","2018","371"
"7006","31-0718042","2019","349"
"7007","38-2308659","2010","95"
"7008","38-2308659","2011","105"
"7009","38-2308659","2012","115"
"7010","38-2308659","2013","126"
"7011","38-2308659","2014","115"
"7012","38-2308659","2015","118"
"7013","38-2308659","2016","140"
"7014","38-2308659","2017","160"
"7015","38-2308659","2018","166"
"7016","38-2308659","2019","169"
"7017","38-2308659","2020","179"
"7018","38-2308659","2021","137"
"7019","39-1180475","2009","349"
"7020","39-1180475","2010","329"
"7021","39-1180475","2011","334"
"7022","39-1180475","2012","335"
"7023","39-1180475","2013","356"
"7024","39-1180475","2014","366"
"7025","39-1180475","2015","394"
"7026","39-1180475","2016","420"
"7027","39-1180475","2017","416"
"7028","39-1180475","2018","416"
"7029","39-1180475","2019","438"
"7030","39-1180475","2020","466"
"7031","39-1180475","2021","482"
"7032","34-1708901","2008","30"
"7033","34-1708901","2009","33"
"7034","34-1708901","2010","35"
"7035","34-1708901","2011","70"
"7036","34-1708901","2012","39"
"7037","34-1708901","2013","48"
"7038","34-1708901","2014","49"
"7039","34-1708901","2015","61"
"7040","34-1708901","2016","75"
"7041","34-1708901","2017","95"
"7042","34-1708901","2018","119"
"7043","34-1708901","2019","111"
"7044","34-1708901","2020","127"
"7045","34-1708901","2021","141"
"7046","03-0445789","2008","38"
"7047","03-0445789","2009","47"
"7048","03-0445789","2010","47"
"7049","03-0445789","2011","58"
"7050","03-0445789","2012","56"
"7051","03-0445789","2013","60"
"7052","03-0445789","2014","67"
"7053","03-0445789","2015","56"
"7054","03-0445789","2016","69"
"7055","03-0445789","2017","77"
"7056","03-0445789","2018","81"
"7057","03-0445789","2019","101"
"7058","30-0281587","2008","19"
"7059","30-0281587","2009","35"
"7060","30-0281587","2010","46"
"7061","30-0281587","2011","62"
"7062","30-0281587","2012","71"
"7063","30-0281587","2013","91"
"7064","30-0281587","2014","89"
"7065","30-0281587","2015","98"
"7066","30-0281587","2016","127"
"7067","30-0281587","2017","148"
"7068","30-0281587","2018","153"
"7069","30-0281587","2019","155"
"7070","30-0281587","2021","192"
"7071","35-2147791","2008","87"
"7072","35-2147791","2009","128"
"7073","35-2147791","2010","139"
"7074","35-2147791","2011","174"
"7075","35-2147791","2012","189"
"7076","35-2147791","2013","233"
"7077","35-2147791","2014","272"
"7078","35-2147791","2015","274"
"7079","35-2147791","2016","313"
"7080","35-2147791","2017","334"
"7081","35-2147791","2018","360"
"7082","35-2147791","2019","477"
"7083","35-2147791","2020","497"
"7084","31-1003977","2008","283"
"7085","31-1003977","2009","272"
"7086","31-1003977","2010","316"
"7087","31-1003977","2011","263"
"7088","31-1003977","2012","255"
"7089","31-1003977","2013","232"
"7090","31-1003977","2014","247"
"7091","31-1003977","2015","278"
"7092","31-1003977","2016","322"
"7093","31-1003977","2017","335"
"7094","31-1003977","2018","351"
"7095","31-1003977","2019","360"
"7096","31-1003977","2020","345"
"7097","31-1003977","2021","371"
"7098","37-0961830","2009","181"
"7099","37-0961830","2010","190"
"7100","37-0961830","2011","216"
"7101","37-0961830","2012","199"
"7102","37-0961830","2013","177"
"7103","37-0961830","2014","97"
"7104","37-0961830","2015","131"
"7105","37-0961830","2016","145"
"7106","37-0961830","2017","166"
"7107","37-0961830","2018","181"
"7108","37-0961830","2019","188"
"7109","37-0961830","2020","268"
"7110","37-0961830","2021","339"
"7111","38-2290337","2009","96"
"7112","38-2290337","2010","106"
"7113","38-2290337","2011","119"
"7114","38-2290337","2012","121"
"7115","38-2290337","2013","135"
"7116","38-2290337","2014","142"
"7117","38-2290337","2015","149"
"7118","38-2290337","2016","171"
"7119","38-2290337","2017","207"
"7120","38-2290337","2018","193"
"7121","38-2290337","2019","187"
"7122","38-2290337","2020","199"
"7123","38-2290337","2021","222"
"7124","38-2290337","2022","286"
"7125","35-1579827","2008","413"
"7126","35-1579827","2009","454"
"7127","35-1579827","2010","493"
"7128","35-1579827","2011","632"
"7129","35-1579827","2012","699"
"7130","35-1579827","2013","791"
"7131","35-1579827","2014","802"
"7132","35-1579827","2015","0"
"7133","35-1579827","2016","776"
"7134","35-1579827","2017","792"
"7135","35-1579827","2018","737"
"7136","35-1579827","2019","728"
"7137","36-3088628","2009","377"
"7138","36-3088628","2010","396"
"7139","36-3088628","2011","421"
"7140","36-3088628","2012","457"
"7141","36-3088628","2013","482"
"7142","36-3088628","2014","553"
"7143","36-3088628","2015","646"
"7144","36-3088628","2016","725"
"7145","36-3088628","2017","845"
"7146","36-3088628","2018","775"
"7147","36-3088628","2019","825"
"7148","36-3088628","2020","905"
"7149","36-3088628","2021","878"
"7150","36-3197647","2009","277"
"7151","36-3197647","2010","267"
"7152","36-3197647","2011","216"
"7153","36-3197647","2012","268"
"7154","36-3197647","2013","260"
"7155","36-3197647","2014","284"
"7156","36-3197647","2015","285"
"7157","36-3197647","2016","306"
"7158","36-3197647","2017","295"
"7159","36-3197647","2018","305"
"7160","36-3197647","2019","312"
"7161","36-3197647","2020","312"
"7162","36-3197647","2021","392"
"7163","38-2406558","2009","151"
"7164","38-2406558","2010","182"
"7165","38-2406558","2011","203"
"7166","38-2406558","2012","222"
"7167","38-2406558","2013","238"
"7168","38-2406558","2014","241"
"7169","38-2406558","2015","246"
"7170","38-2406558","2016","274"
"7171","38-2406558","2017","302"
"7172","38-2406558","2018","298"
"7173","38-2406558","2019","313"
"7174","38-2406558","2020","343"
"7175","38-2406558","2021","312"
"7176","38-2406558","2022","301"
"7177","37-1158318","2008","690"
"7178","37-1158318","2009","720"
"7179","37-1158318","2010","703"
"7180","37-1158318","2011","718"
"7181","37-1158318","2012","765"
"7182","37-1158318","2013","793"
"7183","37-1158318","2014","753"
"7184","37-1158318","2015","731"
"7185","37-1158318","2016","754"
"7186","37-1158318","2017","767"
"7187","37-1158318","2018","743"
"7188","37-1158318","2019","762"
"7189","31-1694200","2008","82"
"7190","31-1694200","2009","74"
"7191","31-1694200","2010","86"
"7192","31-1694200","2011","101"
"7193","31-1694200","2012","114"
"7194","31-1694200","2013","117"
"7195","31-1694200","2014","157"
"7196","31-1694200","2015","154"
"7197","31-1694200","2016","215"
"7198","31-1694200","2017","250"
"7199","31-1694200","2018","257"
"7200","31-1694200","2019","321"
"7201","31-1694200","2020","321"
"7202","04-3828358","2009","13"
"7203","04-3828358","2010","13"
"7204","04-3828358","2011","27"
"7205","04-3828358","2012","20"
"7206","04-3828358","2013","36"
"7207","04-3828358","2014","57"
"7208","04-3828358","2015","57"
"7209","04-3828358","2016","60"
"7210","04-3828358","2017","59"
"7211","04-3828358","2018","71"
"7212","04-3828358","2019","75"
"7213","04-3828358","2020","69"
"7214","04-3828358","2021","80"
"7215","38-3533998","2008","29"
"7216","38-3533998","2009","46"
"7217","38-3533998","2010","77"
"7218","38-3533998","2011","103"
"7219","38-3533998","2012","111"
"7220","38-3533998","2013","122"
"7221","38-3533998","2014","141"
"7222","38-3533998","2015","166"
"7223","38-3533998","2016","187"
"7224","38-3533998","2017","202"
"7225","38-3533998","2018","211"
